disID,titre
138,"Why not always use multiples-based valuation methods? - April 24, 2017"
139,"How much gold would you put in your portfolio? - March 27, 2017"
140,"How much gold would you put in your portfolio? - October 24, 2016"
141,"Why not always use multiples-based valuation methods? - October 15, 2018"
142,Teaching materials
143,Do governments give bad incentives to banks?
144,Do governments give bad incentives to banks?
145,"Do governments give bad incentives to banks? - February 09, 2016"
146,"Why not always use multiples-based valuation methods? - October 22, 2018"
147,"Do governments give bad incentives to banks? - July 11, 2016"
148,Why not consider compounding when calculating returns?
149,"Do governments give bad incentives to banks? - May 30, 2016"
150,"How much gold would you put in your portfolio? - March 07, 2016"
151,"How much gold would you put in your portfolio? - October 03, 2016"
152,"How much gold would you put in your portfolio? - June 12, 2017"
153,"How much gold would you put in your portfolio? - February 22, 2016"
154,"How much gold would you put in your portfolio? - December 12, 2016"
155,Why not always use multiples-based valuation methods?
156,How much gold would you put in your portfolio?
157,"How much gold would you put in your portfolio? - February 20, 2017"
158,"Why not always use multiples-based valuation methods? - October 04, 2018"
159,Why not always use multiples-based valuation methods?
160,Ice Breaking Discussion
161,Do governments give bad incentives to banks?
162,Week 1 Introduction
163,Benchmark and Greece
164,Basic Concepts - What we have learned from our clients
165,More difficult than expected
166,Question 9 on week 2
167,"How much gold would you put in your portfolio? - August 22, 2016"
168,"How much gold would you put in your portfolio? - May 29, 2017"
169,donkey quiz
170,Hello from Los Angeles
171,"How much gold would you put in your portfolio? - July 25, 2016"
172,"Do governments give bad incentives to banks? - June 26, 2017"
173,"Why not always use multiples-based valuation methods? - December 19, 2016"
174,"How much gold would you put in your portfolio? - May 15, 2017"
175,interest rate issue
176,"Why not always use multiples-based valuation methods? - July 23, 2018"
177,"Greetings from mesmoiron,Holland"
178,"Do governments give bad incentives to banks? - April 18, 2016"
179,question
180,Why are exchange rates a better estimate than PPP for GDP growth? (week 4)
181,"How much gold would you put in your portfolio? - June 18, 2018"
182,"Do governments give bad incentives to banks? - May 07, 2018"
183,Do governments give bad incentives to banks?
184,"How much gold would you put in your portfolio? - October 15, 2018"
185,Past Performance is Not Indicative of Future Performance.... but still relevant?
186,"Why not always use multiples-based valuation methods? - May 01, 2017"
187,"Do governments give bad incentives to banks? - July 10, 2017"
188,Why not always use multiples-based valuation methods?
189,Greeting from a new mentor
190,Hello my name is Matthew and I'm from Montreal.
191,Quiz 2
192,"Do governments give bad incentives to banks? - August 08, 2016"
193,"Do governments give bad incentives to banks? - February 06, 2017"
194,Do governments give bad incentives to banks?
195,"How much gold would you put in your portfolio? - August 06, 2018"
196,How much gold would you put in your portfolio?
197,Do governments give bad incentives to banks?
198,How much gold would you put in your portfolio?
199,"How much gold would you put in your portfolio? - April 24, 2017"
200,Question on the picture showing children playing with bank notes. Did anyone manage to get it right?
201,How much gold would you put in your portfolio?
202,How much gold would you put in your portfolio?
203,Why not always use multiples-based valuation methods?
204,"Do governments give bad incentives to banks? - April 10, 2017"
205,Hello Everyone ! Here is my story ! Whats Yours?
206,"How much gold would you put in your portfolio? - February 06, 2017"
207,"Hello, Hola, Hallo! :)"
208,Do governments give bad incentives to banks?
209,"How much gold would you put in your portfolio? - August 27, 2018"
210,"Do governments give bad incentives to banks? - April 30, 2018"
211,Grading criteria incomplete
212,"How much gold would you put in your portfolio? - May 01, 2017"
213,Are the videos still accessible after finishing this first course?
214,Skewness example seems wrong
215,Why not always use multiples-based valuation methods?
216,"Why not always use multiples-based valuation methods? - May 30, 2016"
217,Company Pricing
218,"How much gold would you put in your portfolio? - May 30, 2016"
219,Does this course require skills in maths?
220,Hello
221,Why not always use multiples-based valuation methods?
222,How much gold would you put in your portfolio?
223,How much gold would you put in your portfolio?
224,"Why not always use multiples-based valuation methods? - April 30, 2018"
225,"How much gold would you put in your portfolio? - May 08, 2017"
226,The arithmetic means or geometric means?
227,Computing Net Present Value (NPV)
228,How much gold would you put in your portfolio?
229,"Do governments give bad incentives to banks? - May 15, 2017"
230,Why not always use multiples-based valuation methods?
231,Diversification with Real Estate
232,"Do governments give bad incentives to banks? - June 04, 2018"
233,Leverage
234,"Do governments give bad incentives to banks? - January 16, 2017"
235,Bonjour from China
236,Why not always use multiples-based valuation methods?
237,"How much gold would you put in your portfolio? - July 02, 2018"
238,How much gold would you put in your portfolio?
239,Hi there! I am a Portuguese living in Romania
240,How much gold would you put in your portfolio?
241,Why not always use multiples-based valuation methods?
242,"How much gold would you put in your portfolio? - March 20, 2017"
243,How to do the quiz if you haven't studied Math or Advanced Excel?
244,Greetings from Singapore
245,"Do governments give bad incentives to banks? - December 26, 2016"
246,"How much gold would you put in your portfolio? - January 16, 2017"
247,Why not always use multiples-based valuation methods?
248,"Do governments give bad incentives to banks? - October 08, 2018"
249,"Why not always use multiples-based valuation methods? - January 30, 2017"
250,"Do governments give bad incentives to banks? - September 24, 2018"
251,"Why not always use multiples-based valuation methods? - January 09, 2017"
252,How much gold would you put in your portfolio?
253,"Hi!! I'm from México City, this course is awesome!!! I'm very excited to be here"
254,Assignment: Do you believe ... overvalued? Prompt 4
255,How much gold would you put in your portfolio?
256,"Why not always use multiples-based valuation methods? - August 08, 2016"
257,"Do governments give bad incentives to banks? - February 20, 2017"
258,"Do governments give bad incentives to banks? - March 13, 2017"
259,"Do governments give bad incentives to banks? - July 23, 2018"
260,Why not always use multiples-based valuation methods?
261,How does unconventional central bank policy work?
262,Why not always use multiples-based valuation methods?
263,"Why not always use multiples-based valuation methods? - March 20, 2017"
264,About the quiz.
265,Do governments give bad incentives to banks?
266,"Why not always use multiples-based valuation methods? - July 25, 2016"
267,Terminal Value
268,Greetings from Toronto
269,"Do governments give bad incentives to banks? - February 13, 2017"
270,"How much gold would you put in your portfolio? - June 19, 2017"
271,Why not always use multiples-based valuation methods?
272,"Hello, from Okinawa"
273,"Do governments give bad incentives to banks? - May 29, 2017"
274,"How much gold would you put in your portfolio? - January 02, 2017"
275,"How much gold would you put in your portfolio? - April 18, 2016"
276,Government Bonds
277,Why not always use multiples-based valuation methods?
278,Why does the yield cause the bond price to fall?
279,How much gold would you put in your portfolio?
280,"Why not always use multiples-based valuation methods? - September 05, 2016"
281,Networking
282,"Why not always use multiples-based valuation methods? - June 25, 2018"
283,"Do governments give bad incentives to banks? - July 17, 2017"
284,Why not always use multiples-based valuation methods?
285,Why not always use multiples-based valuation methods?
286,"Why not always use multiples-based valuation methods? - September 17, 2018"
287,Do governments give bad incentives to banks?
288,Oversimplifying issues
289,Maybe a stupid question...
290,Discounted Cash Flow Valuation Method
291,How currency price is connected with interest rate?
292,"Do governments give bad incentives to banks? - June 13, 2016"
293,Hello from India!
294,"Why not always use multiples-based valuation methods? - August 22, 2016"
295,"Why not always use multiples-based valuation methods? - May 02, 2016"
296,Do governments give bad incentives to banks?
297,Hi. What indices make up the World Equity Index and how is it expressed?
298,Do governments give bad incentives to banks?
299,Quiz for Week 3
300,"How much gold would you put in your portfolio? - May 07, 2018"
301,How much gold would you put in your portfolio?
302,"Do governments give bad incentives to banks? - April 03, 2017"
303,"Do governments give bad incentives to banks? - May 14, 2018"
304,Greetings from America!!
305,Hello from Dhaka
306,relation yield and price of bonds
307,"Why not always use multiples-based valuation methods? - October 31, 2016"
308,Hi from Argentina!
309,Do governments give bad incentives to banks?
310,"How much gold would you put in your portfolio? - October 17, 2016"
311,Payment Issue
312,I didn't understand the histogram concept
313,"Do governments give bad incentives to banks? - June 12, 2017"
314,"Why not always use multiples-based valuation methods? - May 14, 2018"
315,"Why not always use multiples-based valuation methods? - July 10, 2017"
316,APO -> IPO
317,Can someone who has no background in finance take up this course?
318,"Do governments give bad incentives to banks? - November 12, 2018"
319,"How much gold would you put in your portfolio? - July 17, 2017"
320,Calculation of Return-risk ratio (Basic concepts in finance – Part 4)
321,"Do governments give bad incentives to banks? - November 21, 2016"
322,Terminal value calculation for a company
323,"Why not always use multiples-based valuation methods? - July 02, 2018"
324,Hello
325,"Do governments give bad incentives to banks? - November 28, 2016"
326,"Why not always use multiples-based valuation methods? - August 27, 2018"
327,Histogram.
328,Do governments give bad incentives to banks?
329,Do governments give bad incentives to banks?
330,"Why not always use multiples-based valuation methods? - June 05, 2017"
331,"Why not always use multiples-based valuation methods? - May 29, 2017"
332,Could  we ask complex questions from guest speakers from UBS
333,"How much gold would you put in your portfolio? - December 05, 2016"
334,"Do governments give bad incentives to banks? - January 02, 2017"
335,please help me to solve question no 7 in quiz 2 !!!!
336,Why not always use multiples-based valuation methods?
337,Mind the currency gap
338,"Do governments give bad incentives to banks? - May 02, 2016"
339,Hi... I'm from India!! Excited to learn about financial markets.
340,"Do governments give bad incentives to banks? - July 30, 2018"
341,"How much gold would you put in your portfolio? - July 09, 2018"
342,"How much gold would you put in your portfolio? - November 05, 2018"
343,Why not always use multiples-based valuation methods?
344,"Do governments give bad incentives to banks? - June 05, 2017"
345,How much gold would you put in your portfolio?
346,Hi I am from India
347,Why not always use multiples-based valuation methods?
348,"Do governments give bad incentives to banks? - October 15, 2018"
349,"How much gold would you put in your portfolio? - May 02, 2016"
350,"How much gold would you put in your portfolio? - May 22, 2017"
351,Greetings from India
352,"Why not always use multiples-based valuation methods? - November 12, 2018"
353,where does the 1742 come from
354,How much gold would you put in your portfolio?
355,"How much gold would you put in your portfolio? - April 30, 2018"
356,"How much gold would you put in your portfolio? - June 27, 2016"
357,WACC and Growth figures
358,"How much gold would you put in your portfolio? - April 10, 2017"
359,"Why not always use multiples-based valuation methods? - June 04, 2018"
360,What is PER Ratio?
361,"How much gold would you put in your portfolio? - June 05, 2017"
362,Asset Allocation
363,Hello from Alabama!
364,Do governments give bad incentives to banks?
365,Question on Bond Price formula
366,Do governments give bad incentives to banks?
367,How is the Risk calculated?
368,Clarify Graph
369,"How much gold would you put in your portfolio? - July 10, 2017"
370,Hello from Ohio.
371,Do governments give bad incentives to banks?
372,"Do governments give bad incentives to banks? - September 17, 2018"
373,"Why not always use multiples-based valuation methods? - December 26, 2016"
374,Financial Calculator
375,ELI5 historical stock prices and dividends
376,Prerequisites
377,About the quiz2
378,Why not always use multiples-based valuation methods?
379,QUIZ  Do you think company XYZ is overvalued?
380,Relation between strength of a currency and exports of a country
381,Why not always use multiples-based valuation methods?
382,non U.S. dollar based investor increases meaning ??
383,"average returns, risk, histograms..."
384,How much gold would you put in your portfolio?
385,Who owns the stocks the Bank lends?
386,"Why not always use multiples-based valuation methods? - January 02, 2017"
387,Do governments give bad incentives to banks?
388,"Why not always use multiples-based valuation methods? - May 21, 2018"
389,"Why not always use multiples-based valuation methods? - July 17, 2017"
390,"Do governments give bad incentives to banks? - October 22, 2018"
391,Hello
392,introduction
393,"Do governments give bad incentives to banks? - August 27, 2018"
394,What are other standards apart from gold standard?
395,"Do governments give bad incentives to banks? - August 06, 2018"
396,"How much gold would you put in your portfolio? - November 14, 2016"
397,"Calculating ""g"" and ""WACC"" in real data"
398,How to determine risk?
399,Calculating risk
400,great condensed introduction
401,Lecture 5! Skewed Histogram.
402,How much gold would you put in your portfolio?
403,Where could i find assignments? Only quiz in each part
404,Do governments give bad incentives to banks?
405,"Do governments give bad incentives to banks? - April 17, 2017"
406,"How much gold would you put in your portfolio? - January 30, 2017"
407,In calculating NPV how is discount percentage derived or determined for future cash flows?
408,How much gold would you put in your portfolio?
409,"How much gold would you put in your portfolio? - February 27, 2017"
410,Hello from Perú!
411,"How much gold would you put in your portfolio? - August 13, 2018"
412,"Why not always use multiples-based valuation methods? - October 08, 2018"
413,Quiz: Canada over India?
414,Too long
415,"How much gold would you put in your portfolio? - September 05, 2016"
416,How much gold would you put in your portfolio?
417,How much gold would you put in your portfolio?
418,Why not always use multiples-based valuation methods?
419,P/E Ratio Important when picking Stock
420,How much gold would you put in your portfolio?
421,Earnings Earnings of th company?
422,"Quiz 2, question 5 (SOS:))))"
423,"Why not always use multiples-based valuation methods? - March 13, 2017"
424,"Why not always use multiples-based valuation methods? - February 20, 2017"
425,"Why not always use multiples-based valuation methods? - June 18, 2018"
426,Why not always use multiples-based valuation methods?
427,Why not always use multiples-based valuation methods?
428,Linkedin: Let's connect!
429,Hi from Kevin Espejo!
430,"Do governments give bad incentives to banks? - October 31, 2016"
431,Do governments give bad incentives to banks?
432,Greetings from Mexico
433,Adding percentages.
434,"How much gold would you put in your portfolio? - June 25, 2018"
435,Hi from the UAE
436,"Do governments give bad incentives to banks? - January 23, 2017"
437,THE ROLE OF FINANCIAL MARKETS - PART 2
438,Little issue
439,should we write USD after the result?
440,How much gold would you put in your portfolio?
441,"How much gold would you put in your portfolio? - April 16, 2018"
442,Michel Girardin
443,"How much gold would you put in your portfolio? - September 10, 2018"
444,q2 is confusing... please help
445,Hello from New York
446,No camera
447,"Do governments give bad incentives to banks? - May 22, 2017"
448,Chinese Yuan is not MNB but RMB!?
449,Do governments give bad incentives to banks?
450,"Why not always use multiples-based valuation methods? - October 29, 2018"
451,"How much gold would you put in your portfolio? - October 29, 2018"
452,And when the yield curve is totally flat?
453,"Why not always use multiples-based valuation methods? - November 28, 2016"
454,"Do governments give bad incentives to banks? - January 30, 2017"
455,Quiz 4 - question 5
456,fundamentals
457,Histogram?
458,[ Financial Crisis 2008 ] The role of financial markets - Part 2
459,Investing in Sustainability
460,"Do governments give bad incentives to banks? - May 08, 2017"
461,Calculating risk (part 4)
462,"How much gold would you put in your portfolio? - October 01, 2018"
463,"Hello from Russia, Moscow!"
464,How much gold would you put in your portfolio?
465,Quiz 2 - question 2/3/5
466,"Why not always use multiples-based valuation methods? - March 02, 2016"
467,Why not always use multiples-based valuation methods?
468,How much gold would you put in your portfolio?
469,Volatility
470,Why not always use multiples-based valuation methods?
471,Beta Tester_Review of Week 1
472,"Why not always use multiples-based valuation methods? - September 24, 2018"
473,Swiss National Bank
474,Choosing Equities using past perfomance
475,"Hi, I'm David from Geneva!"
476,Market failure vs Government failure
477,"Government bonds, a safe investment???????"
478,Hedge fund managers
479,Why not always use multiples-based valuation methods?
480,Investment Bankers?
481,Investment Questions/Education/Group
482,"Do governments give bad incentives to banks? - March 06, 2017"
483,"Why not always use multiples-based valuation methods? - April 23, 2018"
484,Holding Bonds to Maturity
485,i can't pass even the Quiz one.
486,Do governments give bad incentives to banks?
487,Professor Girardin is Brilliant to say the least!!
488,"How much gold would you put in your portfolio? - October 22, 2018"
489,the answers given after i submit week 3 test is misleading
490,"Do governments give bad incentives to banks? - April 24, 2017"
491,Greetings from Japan
492,"Why not always use multiples-based valuation methods? - December 05, 2016"
493,"Hi everyone, I'm Paola from San Francisco"
494,"Why not always use multiples-based valuation methods? - May 28, 2018"
495,Borrow share for short selling
496,How to obtain discount rate?
497,"Why not always use multiples-based valuation methods? - January 16, 2017"
498,Careers in finance/econ?
499,"Why not always use multiples-based valuation methods? - July 30, 2018"
500,"Do governments give bad incentives to banks? - August 13, 2018"
501,"Do governments give bad incentives to banks? - July 09, 2018"
502,Why not always use multiples-based valuation methods?
503,"Why not always use multiples-based valuation methods? - November 21, 2016"
504,"Why not always use multiples-based valuation methods? - August 06, 2018"
505,Do governments give bad incentives to banks?
506,Real Estate Reading Material
507,scale wrong?
508,Cheers from Bulgaria
509,risk
510,Real estate: question 2 to Dr. Hoesli
511,suggestion
512,Introduction - Messias Uaissone
513,Quiz 2 Number representation Help
514,Please simply Duration for me
515,"So if I just want to take this class, not get a certification, I don't take the tests?"
516,glossary
517,"Hi, From Austin, Texas"
518,Do governments give bad incentives to banks?
519,Past performance does not predict future performance
520,Do governments give bad incentives to banks?
521,Hello from South Africa
522,Risk metrics
523,private investor VS Pro investor
524,"How much gold would you put in your portfolio? - September 24, 2018"
525,Do governments give bad incentives to banks?
526,Interactive Transcript
527,Hello from Germany and Syria
528,Introduction & Networking
529,Duration and YTM
530,"How much gold would you put in your portfolio? - October 08, 2018"
531,Assignment 2 question 5 (NPV of stock purchase)
532,About Quiz XYZ
533,"Why not always use multiples-based valuation methods? - April 03, 2017"
534,"Do governments give bad incentives to banks? - April 16, 2018"
535,How to rate the course
536,"Do governments give bad incentives to banks? - December 19, 2016"
537,Fat K
538,Do governments give bad incentives to banks?
539,rights of owning shares of a company
540,"Working in West Texas, but from College Station, Texas origionally"
541,What causes deviations from PPP?
542,THIS COURSE HAS TOTALLY ENLIGHTENED ME
543,Query to Dr. Michel Girardin: have you made a mistake?
544,Hello from Norway
545,Yen stronger or weaker?
546,Why can't a government just print money to repay its debt?
547,Hello from Turkey
548,FROM INDIA
549,Percentage Addition
550,Hi everyone
551,MRI
552,Market Valuation
553,Please i need your help. Where the terminal value  1742 is coming from?
554,Do governments give bad incentives to banks?
555,Wrong Flag !
556,"How much gold would you put in your portfolio? - July 03, 2017"
557,Hi everyone!
558,Market valuation!
559,Unlock the quizzes /assignments for everyone
560,One missing key scenario for Ice Cream - Umbrella
561,How much gold would you put in your portfolio?
562,"How much gold would you put in your portfolio? - January 09, 2017"
563,Histogram- Clarification on above example
564,This is not too long.
565,answeres
566,"How much gold would you put in your portfolio? - April 03, 2017"
567,"Apple is going to issue $12bn of Bonds, Good Investment?"
568,"Do governments give bad incentives to banks? - March 27, 2017"
569,"Hello,"
570,Nice to joined this course
571,About the +IC/-UM strategy
572,"Do governments give bad incentives to banks? - July 02, 2018"
573,Currency Pair False
574,Investment / portfolio / market
575,Do governments give bad incentives to banks?
576,question on why gold went down last few years due to  expectations on lower % rates
577,Hi from Switzerland
578,OMG  - Who uses this drivel to actually determine the price of a share of stock?
579,"Hello,"
580,"How much gold would you put in your portfolio? - January 23, 2017"
581,Mohamed from Egypt
582,Belgian vs Russian indices
583,Confused about valuation of company on stock market
584,"How much gold would you put in your portfolio? - June 04, 2018"
585,Inflation
586,How about trend?
587,Assignment
588,"Why not always use multiples-based valuation methods? - June 11, 2018"
589,HELP!!!! QUIZ 1
590,Hello from Brazil !!!
591,Do governments give bad incentives to banks?
592,NPV
593,Real Estate: question 1 to Dr. Hoesli
594,Boom/Bust cycle
595,Duration vs Maturity Example in Week 2
596,Beware of benchmarking
597,Are there optimal rules at all?
598,P/E ratio
599,Why Duration ?
600,"How much gold would you put in your portfolio? - October 31, 2016"
601,Hello from Jana :)
602,How much gold would you put in your portfolio?
603,feedback
604,"How much gold would you put in your portfolio? - May 14, 2018"
605,"Do governments give bad incentives to banks? - November 14, 2016"
606,Question for comparing performances of two stocks
607,How much gold would you put in your portfolio?
608,"Do governments give bad incentives to banks? - June 11, 2018"
609,Hello from a chilly London!
610,URSS
611,"Is the calculated price of one share, the price when a company goes public?"
612,Understanding Duration
613,Why commodities trading has less innovation?
614,Do governments give bad incentives to banks?
615,histogram
616,Greetings from South Africa
617,"the lower the starting yield, the lower the expected return"
618,issue
619,Do governments give bad incentives to banks?
620,"Why not always use multiples-based valuation methods? - October 24, 2016"
621,"Do governments give bad incentives to banks? - April 23, 2018"
622,Aspiring quant from Greece
623,Hello !
624,How much gold would you put in your portfolio?
625,Question 4
626,How would you short the umbrella guy in real life?
627,Where to get the historical PER of an index?
628,Risk
629,Help with Quiz 2
630,How to calculate the Ratio of Global Equity Value to GDP
631,Am I just adding the two 40 percentages together?
632,Do governments give bad incentives to banks?
633,"Where does the ""minus 1"" come from?"
634,This video needs redoing with better explanations
635,Hello from a Lebanese in Canada
636,Buying bonds
637,Hello from New York
638,Website is unusably slow
639,Meeting Investors' Goals
640,Hello From Bangladesh!
641,What determines the yield spread....
642,Do governments give bad incentives to banks?
643,Marking Scheme - Module 3
644,Help
645,"Why not always use multiples-based valuation methods? - November 05, 2018"
646,"Hello from Brisbane, Australia"
647,2 step Approach?
648,Glossary
649,New investing philosophy
650,quiz on the content of Module 3
651,"Do governments give bad incentives to banks? - November 05, 2018"
652,Financial stocks : when should we buy ?
653,"Thoughts on the Introduction, Week 1 & 2 ?"
654,Trick question about $1000 dollar portfolio
655,Fixed Interest Government Bonds - why should the value of longer term bonds gyrate wildly?
656,Does the BigMac index means anything really?
657,Glossary thread
658,Networking
659,vanakam from chennai 🙏
660,Where do I find a copy of the slides that are shown?
661,"Why not always use multiples-based valuation methods? - August 20, 2018"
662,Greetings from Australia
663,Why not always use multiples-based valuation methods?
664,Two elephants in the room
665,Test for Module 1
666,Discount rate
667,Hello from New Jersey
668,"week 1, 5"
669,Everyday Reading
670,Hello
671,Why again I can not get the  ertificate?
672,No certificate issued despite all assignments passed
673,Quiz Question 1
674,Currency risk in bonds vs equities
675,Hi from Holland
676,Indian Flag-INVERTED
677,"Do governments give bad incentives to banks? - December 05, 2016"
678,Discount Rate and Timing
679,Verified certificate
680,Hi course mates
681,Thank you so much for your feedback!
682,No Camera as of grading time.
683,Hello Everyone!
684,"Why not always use multiples-based valuation methods? - October 01, 2018"
685,This is a marketing piece for UBS
686,Do governments give bad incentives to banks?
687,Cheaper and Expensive market
688,Meet & Greet
689,Greetings from Malaysia
690,Question equity index
691,Umbrella Ice cream example
692,Regression technique glossary
693,Hello everyone
694,Let's get linkedin
695,Greetings From Southern Africa
696,Question 7 - Very confusing solution...
697,Hedging currency risk
698,Hello from Ivory Coast
699,Inflation and Interest rate
700,Problem with the week 3 quiz
701,Solution to the test
702,"Why not always use multiples-based valuation methods? - January 23, 2017"
703,Introduction
704,MORE DETAILS ON SECURITIZATION
705,When exactly is the next course starting?
706,PPP regression methodology
707,Slides
708,"Do governments give bad incentives to banks? - September 10, 2018"
709,"How much gold would you put in your portfolio? - February 13, 2017"
710,Poloko from Botswana
711,"Hi from Ahmedabad, India"
712,How ratio of global equity value can be increased??? What are the options for developing countries?
713,Venezuelan Bonds
714,How to make a chart of P/E Ratio like in the video?
715,Technical factors influencing stock market
716,Greetings from Denmark
717,Skewness! Can't understand it.
718,"Do governments give bad incentives to banks? - December 12, 2016"
719,UBS Guest Lecturer
720,Integrity check for England
721,Investing in other country's market.
722,hello there
723,Error - Quiz1
724,Do governments give bad incentives to banks?
