msgID,texte
6268,"I currently have a fairly long investment horizon (approx 20 years) so would take a relatively smaller proportion of gold in the expectation that I still have time to recover much of the loss associated with a black swan event 
 That said I would, over time, increase my holding of gold as an insurance as I approach retirement"
8921,Small
8706,Small part
6112,"Some scenarios in which the evaluation by the discounted cash flow may encounter difficulties\n and require adjustments (which does not mean that this model can not be used\n in these cases), as Damodaran (2005, p.15-17) are:\n companies in difficulties; cyclicals; companies with unused assets; companies\n with patents or product choices; companies in the restructuring process; companies\n involved in acquisitions; private companies.\n This evaluation model, as already said, can be analyzed from different perspectives;\n the most mentioned in the literature are: a) payment of dividends, b) free cash flow\n and c) the company's cash flow"
4587,"First of all such situation should be avoided by the means of regulation and effective monetary policies 
 If those situation came governments should have a clear and transparent actions minding general public as well as the other financial institutions"
1245,"Depends on the market, if the alternative investment market is good, smaller amount of money would be invested in gold"
8367,Relatively small part
7412,"Hi!) You need to insert 6000 (Vn) to the formula of Vo= FCF1/(1+rwacc)+FCF2/(1+rwacc)^2+(FCF3+Vn)/(1+rwacc)^3,  then count Po=(Vo-debt)/sh 
 Outst rwacс=11%, debt=1000million"
7633,It will be nice if anyone can explain if the shorted stock volatility is modified by multiplying it's values by -1 or if it requires a somewhat more complex adjustment
3243,"Lauren, Dave I agree with Dave 
 NPV is a theme that many people face problems and the information in the course is a bit superficial 
 I learned that people in general have difficulties with NPV in other Coursera MOOCs about finance.\n I'm quite familiar with NPV so I faced not much problem, but I saw a lot of mistakes in the Assignment 1.\n In my review, I suggest that Instructors give more information on NPV or at least inform that familiarity with NPV is a prerequisite for this course.\n Maybe referencing to the learners some good readings on NPV would be the most practical action with immediate benefits"
7894,"Hello Aahlad, Can you help me with the outcome of questions 3 and 5 of the second week Quiz, please 
 I have difficulties to solve them 
 Thank you. Rafael Tárrega"
295,"I'd rather have a relatively small investment in gold, though I think age may be a factor 
 I think having less capital/money in the game makes one less likely to hedge against major catastrophe"
1240,"I would like to give the answers on the following questions : a) the assumption is to forecast sales , costs that are affecting the profit of a company 
 From any company we need to know the cost of labor and raw materials and again it is important to know if a company makes advertisement in order to attract more customers to buy more product or a service 
 B)There were instances in history where I would not have comfortable using multiple valuation methods to value companies when companies are not similar or comparable  
  c) companies reported the lost had the following problems: - The  total cost is higher than revenue -The company does not make advertisements -The company has a problem of the quality of management  - The cost of labor and raw materials are high - The company sticks on many debts - The company does not pay dividends  - The company doesn't have a qualified staff"
4192,"Personally, I think that over 5% of gold allocation is an excess and the opportunity costs would significantly hurt the portfolio's returns in the long term 
 Unless of course there's a black swan event in the meantime!\n"
4182,"The assumption is that the information on price and earning of a company is legitimate and accurate 
 Secondly, analysis methods like price-to-earning can correctly reflect the performance of a company 
 Some company just does not fall into multiple-based valuation methods, such as Amazon in the early stage 
 It did not earn any money, and even loss a bunch 
 Buy their strategy aimed for future and long-term growth 
 So they dump their money into occupying market shares and building brand image"
7228,Thanks
5039,I think they should have let the banks default instead of furthering the bubble of problems
6984,Thanks poloko
1846,"Thank you for posting your question here 
 Even I had that question a couple of years ago.  I think Artem and Palash have already answered your question (great answers!) 
  However, the following article will show you the implications of printing money in a more practical manner 
 I think by now you have understood printing money is not a solution to repay the debts 
 So do you have any other options as to how a government can get rid of their debts?\n  \n"
3732,"The likes of TARP and other asset purchasing schemes like NAMA in Ireland certainly have created a moral hazard for banks 
 Although the bad loans were taken off the banks books how many of the debts/mortgages ended in foreclosures and even more interest payments for the debtors 
 And with little to negligible damage to the banks and individuals who perpetuated the sub-prime crisis (Goldman Sachs etc), which is even worse 
 It's a sort of state socialism for the rich where the banks can be essentially nationalised or bailed out with public money but if an individual fails its a completely different set of rules/consequences"
6777,"Extraordinary times call for extraordinary measures 
 Moral hazard is a real issue that can skew incentive structures for banks towards taking too much risk 
 But this is a problem for when the economy is experiencing ""fair weather conditions."" It becomes a moot point when the whole financial system is facing an existential threat and there would be no banks left to stand to take any risk 
 So in the case of the financial crisis of 2008 TARP with its ultimate use to inject capital into banks was the absolute right thing to do in my view 
 The fact that it actually made money for the taxpayer while helping to avoid a second Great Depression is evidence of that"
3809,"I am more worried about the consequences of these bailouts 
 I suggests that governments can be the ""lender of last ressort"", but that fact forget that states can as well default 
 This triggers severer risks on the government bond sector 
 Further more role the the central bank is more than ambivalent 
 Who rescues them in the next crisis if the have large amounts of defaultable bond (e.g government,  
  bonds) on their books"
2937,"In my personal opinion the US government shouldn't be blamed for taking a brave action with such a short amount of time to reflect on the facts 
 There is of course the worry that banks may feel in a certain way protected, with always a plan B in case things go wrong, in case actions taken from rogue and distracted employees would go too far; investments banks and above all rating agencies might not feel the overheating sensation that someone may feel when feeling completely responsible about what they are doing, because in the back of their head there will always be now the big plan B, the government, playing the role of the lovely parents that would help you ad support you even when you're wrong, keeping their children infantile 
 But the thing is that here we are not talking about children, we are talking about adults, grown ups that should now play the role of the parents, protecting and taking care of their clients and customers that without they would be jobless and moneyless as well 
 I'm sure that the US government would have probably came up with a better plan if it only had more time to evaluate and think about the situation; but there was the too urgent need to bail out those banks that held million of people's money, an eventual not taking action of the US government would have probably caused something close to the end of capitalism, the end of order, but in a too bad way, in a way recalling the 1929 great depression, and that may even have been the fair epilogue, but certainly not the most pleasurable"
7821,"I firmly believe the bailout of its financial sector was necessary for the well being of the economy as a whole otherwise there was potential for much deeper recession than 1929 
 The economic growth in the US has been recovering\nmuch faster after the crisis was this program called TARP (Troubled Asset\nRemoval Program) TARP compare to other world economies immediately 
 Essentially,\nthe Federal Reserve bought shares of the troubled banks and gave them funds to clean\nup the balance sheet of the banks 
 This enabled banks to be very quickly back\nin the lending game at least on paper 
 In US, the Federal Reserve saw the similarity\nof recession of 1929 where the response of the banks was slow which lingered the\nrecession to 4 years (1933) 
  US central banks have also been using unconventional policies\nof quantative easing under the leadertship of Ben Barnake, who is world’s expert\nin quantative easing 
 This is when a central bank buys other assets, usually\nbonds in an effort to further reduce the borrowing costs for businesses and\nconsumers 
 This is been compared to raping up the monetary printing presses,\nthe sums of money that have been printed are vast 
 In its effort to rescue the\nUS economy the Federal Reserve bought around $3.5 trillion of assets"
2215,"As shown by the trend of US economy reviving faster than European economy post Recession, it seams to me that the US government's bailout of its financial sector was necessary for the well-being of the economy as a whole"
6504,"We assume that the market is efficient 
 There were instances when the market was volatile and ever changing and i felt that that the market price was not at all reflective of the actual market price and the price kept changing without any change in the underlying company fundamentals"
2474,"The assumption is that not only the products but also the people (including management) are interchangeable between companies 
 With other words, we only focus on the quantitative side (market, size, market share, etc.) and not qualitative issues like skills and knowledge 
 E.g 
 When comparing telecom companies in the late nineties (one still on analoge technologie and the other one investing heavily in knowledge of digital telecom, GSM technology)"
7720,"In my opinion, we have to see the risk tolerance of the investor, but I would say that about 5% of their assets have to be invested in gold 
 Because its an insurance and the insurance premium is about 1%, so with a 5% I think its completely covered against nasty events"
866,"The assumption is a stable market 
 You should not use multiple-based valuation methods in high inflation economies, for instance"
6222,This is a good explanation
1892,"I am more worried about the potential consequences 
 I strongly believe and self regulation and, if banks or other companies go bankruptcy due to inefficient management or risky operations, we will certainly have a negative impact in the economy but it should heal alone 
 As soon as governments play a central role that commonly reflects to a ""big salvation after everything went wrong"", banks, companies and individuals tend to care less about risk and about consequences of actions 
 We still have not reached big economic growth and I believe it is just a matter of time to have another (maybe bigger) financial crisis, since the one from 2007-2009 and its biggest effects were just postponed by such a program like TARP"
1182,"I think it's hard to say. I think we might have recovered from the crisis without the bailouts, but it is hard to say how long it would take and how bad the outcome would have been 
 Who wants to go through a depression if you can avoid it 
 That being said, I don't know what the final consequences are going to be from the bailouts 
 Listening to the last videos, it seems that benchmarks have been altered and we are in uncharted territory"
6136,"I don think I will invest in gold, I will minimize the cost of black swan by investing in different  companies in different countries, and also invest in housing and pleasure(yachts)"
5544,"You are not alone Alexander 
 I'm struggling with this too"
4932,"From what I understand, to calculate the value, you use something like the P/E ratio, which tells you how much money you need to invest in order to get a single dollar of earning, i.e 
 You account for both the price of the index and the earnings per share 
 Whereas if you looked at the price of the index alone, it is just merely a number and does not tell you how valuable you investment is"
6979,Dave  You're welcome
6971,"Read up Joseph Stiglitz 
 Whole dedicated to this discussion"
6425,"When using P/E ratio for valuation, we have to assume that that the earning aspect of this ratio is not manipulated, otherwise its reliability could be questionable 
 While using P/E ratio as a valuation metric across comparable companies, we would also have to assume that these companies are within the same industry 
 As P/E ratio doesn't tell a full picture, I'll be comfortable using other valuation methods like EV/EBITDA to compliment the P/E ratio as the former includes interest EBITDA For companies the negative earnings, the P/E ratio would be e negative ratio 
 This ratio will thus be reported as are not applicable ""NA"" when earnings are reported"
6771,"The dot com burst is probably a time when people were valuing internet companies by comparing 
 Most of these companies were overvalued which is why we saw the burst 
 It probably made more sense to have used multiple based evaluation back then"
2277,"During the dot com bubble when stocks were overvalued and during the housing bubble when mortgages were overvalued, are two instance that a multiples valuation method would not have been appropriate -- but then again how could you know"
2335,I think from here
6841,"Thank you, Craig 
 That, actually, makes sense"
8548,A relative small part
3470,"Well 
 There have been quite a few instances where companies have manipulated their accounting information to achieve various goals like tax evasion, hiding losses etc. This tells us that the various multiples available could nt be authentic every time 
 For eg 
 During the dot com bubble, NOKIA was having an P/E of 100. Also enron never showed any losses in their books due to which their multiples couldn't capture the reality of the business 
 Therefore, before using any multiple, we should verify its authenticity.\n"
3611,"I would invest a small fraction into the gold 
 Even with the opportunity cost, justifying the reasonable fraction of my assets would result in fewer unpleasant events 
 I think it should only be seen as one insurance"
3379,"Personally, I believe the bailout was the best scenario under the context of a crisis, yet also believe that more regulation and over-watch needs to happen at the bank level 
 If something so large controls a vital part of society, we all have responsibility to ensure realistic governance - it cannot be left to run amok"
6911,"In my opinion, investing in paper gold (ie gold ETFs, mining stocks etc) should be an important part of portfolio management but alongside the general asset allocation in that portfolio 
 This means used as a hedge in bigger percentages when a bear market is expected and smaller percentages when a bull market is expected 
 As far as physical gold is concerned, I wouldn't invest more than 5-10% of the overall portfolio due to technical issues like scarcity of bullion, difficulty to sell at a good price, insurance fees, fear of government confiscation in times of turmoil etc"
8758,"The reason for TARP program was to encourage bank to issue more credit to new ""Small Business"" and to help states government who were in financial trouble to pay their debt off to keep state government and major cities functionally properly 
 In the process nothing really got done 
 Some of states debt went in to default and  state credit rating lost their AAA on majority of junk bonds and majority of small business falter in the end"
9127,"Of course it was a BAD idea 
 Yes it stimulated the US economy, but the US economy has been under constant government stimulus since the Great Depression 
 It is as stimulated as a chimp with unlimited access to bananas laced with cocaine 
 But eventually the party will have to end.  And when the US economy shuts down like the Greek, the world will rue the day"
3059,"Did you see in video this 
 Could tell me the video 
 But i think is a technique of hedge fund"
724,"If the CB's purchase assets with a penalty, then banks still have an incentive to be responsible 
 As long as responsible banks are in a better financial position than those that were bailed out, buybacks can be a useful"
3797,"The potential consequences of this bailout are in my opinion greater than the benefits to the economy but, from a political point of view, it remains far easier to market quantitative easing rather than austerity to the economically uneducated electors"
1453,I think that you have to have a small amout of gold in your portfolio
9094,"Yes, this was necessary"
7141,"I failed the question twice, I dont think I understand the equation 
 How do you calculate gFCF and rWACC 
 Thanks"
4336,"The easiest (and probably cheapest) way to invest in Gold is to buy a Gold ETF. There are different Gold ETF's 
 For example IAU. You want to make sure that the funds holds the gold physically 
 If you are outside of the US you might want to consider a hedged fund (for example ""ZKB Gold hedged"" in CHF) 
  You can also buy gold in coins or bars 
 But consider holding them might be less safe (if you store them at home in a safe) or more expensive (in safe deposit box at the bank)"
7675,"Hello, Can you help me with the outcome of questions 3 and 5 of the second week Quiz, please 
 I have difficulties to solve them 
 Thank you. Rafael Tárrega"
8145,"Hi Donald, No, the answers are different 
 ' Market valuation can be assessed by just looking at the price of a stock index '  is being shown as 'Correct' in Screenshot 1 and 'Incorrrect' in Screenshot 2 
 Similarly,     ' Market valuation can be assessed by just looking at the aggregate earnings of the companies that constitute a stock index'   is being shown as 'InCorrect' in Screenshot 1 and 'Corrrect' in Screenshot 2 
 I have such problems in most of the questions 
 I'm unable to complete the quiz 
 Please help me"
2615,"The very important assumption could be that the comparable companies are accurately valued 
 Instances in history are when there is a stock market crashed or market euphoria, where the price are not accurately reflecting the correct value of the companies 
 And these affect multiples like P/E ratios"
6003,"Hi 
 I believe the underlying or at least important assumption we make while using multiple-based methods is that the comparable group of companies are correctly valued by market 
 In the preceding quiz and lectures as well as evidence in real life confirms that companies may be either undervalued  or overvalued 
 If we consider, for example, oil and gas companies in emerging markets such as Russia and Ukraine where the state has almost a monopoly in the industry, the small cap privately owned oil and gas businesses cannot even find a proper peer group for comparison 
 The next important requirement for peers comparison is that the relevant group should be consistent in terms of revenue structure, business ""maturity"", debt or simply be alike 
 This constitutes another limitation for multiples based methods because  all the companies are different in their own way and normally our knowledge about them is based only on publicly awailable information 
 I understand that in this cours we are talking about companies who adhere to the same accounting and reporting standards such as IFRS , US GAAP, or other similar GAAPs (generally accepted accounting principles), while it may not always be the case as each country may have its own standards for financial disclosures 
 Hence , the definition of revenue and eventually profit shown by companies in a little known country may also be a subject for discrepancies with the peers in developed markets (countries) 
   The discussed in the course multiples based methods were based on current or past information as opposed to DCF method which takes into consideration future cash inflows and growth rates 
 That is in my opinion another disadvantage of multiples methods 
 Global demand for some products may change dramatically within industry 
 Again in energy sector the price for fossil fuel has dropped from 120 to below 50 usd/barrel (crude oil Brent) over past few years, the deplition of resources puts under going concern companies producers 
 While solar and renewables based energy companies are enjoying stronger growth and future demand (Tesla, Solaris, etc.) 
  Mobile phone companies: Nokia and Blackberry example of failures after years of significant growth couldn't serve as peers to Apple or Samsung (smartphones) while they seemed to be alike 
 And finally, the question about p/e for loss makers 
 Well, the purpose of any (commercial) firm is generating profits 
 The instinct says investing in loss making companies is a financial suicide 
 However if the company is undervalued due to its loss year, it's always worth to ask why there was a loss 
 And if the reason was adequate , the investment may be very well rewarded in the future 
 It often happens that company underwent some restructuring, was fined by regulator, posted impairment of assets or incurred a loss from discontinued operations 
 They not necessary lead to negative EBITDA but significantly lower it 
 Financial analysts and accountants call those adverse items as ""one-offs"" 
  One-offs do not typically happen in a due course of business but rather appear as ""black swans"" 
  In this case excluding one - offs from EBITDA or in other words -normalizing EBITDA-  may give us another more accurate picture on the value of the company 
 Best regards, Oleksandr"
1018,"I would rather have a limited amount of gold in my portfolio, just as much to cover my worst losses, in case that happen 
 I feel that by doing so I also manage to make reasonable returns by investing in other markets"
3140,"Short answer - It was a necessary evil 
 On one hand, near economic standstill compelled unconventional monetary policies like TARP 
 On the other hand, it created dangerous precedence by condoning and possibly incentivizing ineptitude on part of the largest financial institutions in the US 
 This was particular evident when TARP recipients went ahead and issued millions worth of executive bonuses 
 Ideally, the bail-out should have come with a caveat where TARP recipients would have to adhere to stringent banking regulations which forecast and prepare for such contingencies in future"
1788,I have to think more on this subject
7424,"I could have a relatively large part of my portfolio invested in gold as an insurance to protect it against 'black swans' events 
 If i assume a future crisis in financial markets and to be simple i've my money only invested in equities i could have a portfolio structure like 70% in equities and 30% in gold 
 As gold is commonly inversely correlated to equities,in theory a big drop of 20% in equities will be related to a 20% gain by gold 
 I compute it: 0.8*70(equities)+1.2*30(gold) = 92 i lose only 8% of my portfolio in this case"
6806,"I passed the quiz 
 Can I re-take it for better grade"
7710,"Hi 
 You should watch again second part of the company worth video 
 You'll find there how to calculate answers for questions 2 & 3 
 I can't help with question no 
 5 (got it wrong either)"
8967,"How much gold would you put in your portfolio 
 A relatively small part to act as insurance"
485,"In my opinion, the bailout done by the US government to their financial sector was a necessary think to do, but indeed gives bad incentives for the banks 
 The lack of regulation to their financial sector, made US Banks commit bad decisions 
 So in a nutshell, this bailout was necessary because of the lack of options but it is important for US government to keep in mind that the market should be more regulated, in order to avoid future similar situations"
940,"The P/E ratio assumes that the past is indicative of the future 
 It also assumes that the earnings are correctly estimated"
2969,"The assumption is that the multiples are not overvalueted or undervaluated 
 In a bubble the multiples can be very high 
 But it could be the increase of earnings in one sector 
 Other consideration is that earnings could be the result of short term drivers 
 For instance, the costs of an aquisition 
 In both cases, there are a distortion, that can be better evaluated with a DCF"
1246,"I would have a small component of Gold in my portfolio but increase or reduce to hedge against certain market forces such as inflation,stock market crushes,risk of war or under performing dollar"
4086,"No 
 The role of gold is hedging 
 Therefore, I keep the amount of gold proper to hedge the risks of equity, bonds and also substantially against black swan"
3457,"Well, the assumptions could be related to an existence of an outlier company (for either good or bad results) 
  This could of course bring some fake expectations to market value, leading investors to put their money in the wrong assets 
 Such behaviors can always be observed in times that come before the financial bubbles 
 In those cases in which the company just has reported a loss, this specific company could bring pessimism to the market"
2064,"In doing this, some key issues would have to be taken into consideration 
 There is need to find comparable listed companies,compute ratio of market value of earnings and infer the value of the firm that one is interested in 
 Also, in choosing the multiples the firm needs to be in the same industry and at similar stage of development 
 And in using the P/E multiple, the firms should have similar financing structure 
 There are assumptions and also factors that could affect the method 
 The macroeconomic conditions, policy decisions, valuation and technical options all greatly impact this"
8217,I would have 30% invested in gold and 70% invested in traditional investments like equities and bonds
7863,25% according to William Bernstei's Permanent Portfolio\n\n
6626,"I believe that the bailout was indeed necessary as it saved the entire financial system as we know it 
 The adverse consequences of a cataclysmic financial failure would have resulted in the collapse of modern society that would have spread to the rest of the world"
4915,"I would only have a small part of my portfolio in gold 
 Firtly, becase gold does not provide future cash flows (no dividends or coupons), and secondly because its price is driven by strong speculating forces 
 As a consequence, I would protect myself with a small portion of cash or money market assets rather than buying gold"
7782,"If the company just reported a loss maybe we can take the expected earnings for next year 
 Or compare the previous year"
6187,"You can't always assume one year is going to be comparable to the next in terms of relative increase or decrease in growth 
 Things happen 
 Wars break out, lawsuits are filed, products may have unforeseen flaws etc. If a company just reported negative earnings, the important thing to look at is the underlying reasons for that 
 Are they being outcompeted by a superior product 
 Are rates for their services changing in the market 
 Or is it a presumed one -time loss"
9009,"Because there are multiple variables that play a factor in the process of  evaluating a company 
 And yes, in the past there was a time were you could not trust the multiple-based valuation method to give you a fair value 
 For example, the  _domain_  bubble, or the housing crisis"
7799,"That is my understanding as well 
 Phoebe sent out a message about the deadline & for additional info but the address s listed as noreply 
 So, I suspect that the team is reviewing these forums, the flags, etc. as they prepare for launch on Feb 9"
3506,"P/E is just a snapshot, does not take e.g growt of a company into consideration"
2239,"On hindsight, it was probably more correct than wrong that the US government started with its' bailout program 
 Otherwise, it would have spark off the global great depression 
 Of course there will be potential consequences such as giving banks the thinking that the government will always bail them out in times of need 
 However, this has since been tighten with the government coming up with tougher checks and rules for the banks to comply with, failure of which, they will face hefty fines which will be detrimental to their balance sheets 
 With the bailout, it has spark off more lending and a recovery of the global economy, which goes a long way to show that it was the correct decision by the US government"
20,"Since gold, like other investments, fluctuates in value, it is not feasible to keep a large portfolio of gold 
 If the value of gold is based on US currency, and the US dollar loses value, an investor technically can not sell his gold in the US markets until the dollar stabilizes"
2345,"Sample size big, current earnings represent a fair non-volatile view 
 The sample of comparable companies chosen represent a fair sample of equally challenged companies"
818,"The principle assumption we make when using ratios observed in the market to value a company is that the market is pricing the company correctly - i.e 
 It is acting irrationally 
 It is clear that there are times when this does not happen 
 For example, I would be uncomfortable relying on multiple-based valuation methods when valuing technology stocks in 1999 or 2000 at the height of the dot com bubble 
 Indeed, it is impossible to use earning ratios to value a company which has reported a loss"
3512,"It was necessary but there should have been more constraints for the Banks and more accountability 
 Fraudulent behaviour is unfortunately still happening today"
2502,"The assumption we make in using industry multiples to judge value is that those ""similar"" companies are themselves fairly priced 
 This was a disastrous strategy during periods of euphoria such as the dot com bubble of the late 20th century 
 Generally speaking, companies with consistently negative earnings are not suitable for the risk profile of the everyday investor and are usually funded through VC and other private ventures 
 If I company has posted a loss in just its most recent earning period, then there are other metrics that can be employed such as price/earnings 5 year average or even price/book value"
6905,"I don't invest in gold because I think it doesn't have the same value in term of currency as before 
 I think gold should worth now only a little bit more than its commodity value"
3232,"It seems very difficult to find really comparable companies as they may eventually differ in many sophisticated manners like corporate values, risk proneness, management style and innovation philosophy among many others"
8120,"What is the terminal value (in Year t+3) 
  Please give your answer in million USD and round it to the nearest integer 
 For example, if your answer is 3088 million USD, then type in ""3088"""
3252,"The major assumption made when valuing a company share through multiples is that the risk involving in both the companies is equivalent 
 It basically gives an approximate idea of the company's fair evaluation, in such specific cases DCF method must be preferred"
4396,The comparable companies must have a price that correctly reflects their value
3944,I am more worried about the final consequences of  all this process
2036,"In cases where the market as a whole is undervalued or overvalued, the method of comparing multiples breaks down 
 Moreover, an extreme performance of the valuated company on the current year that might well not be representative of the general trend would bias significantly the conclusions,"
8415,Relatively small part
4910,"I would think that it depends on the time frame of my investment 
 I would calculate the probability of a extreme event and the compute how much risk is not to invest in gold and find out a tolerable risk for my taste"
6933,I would allocate about 8% to Gold
6575,"Hi, I see. 
  So what about Financial Markets from Yale 
 The professor is quite famous 
 Anyway, have fun ~ Racheal"
5027,"There's another melt down on the way, and there's no more gas in the tank"
2986,"By using ratios comparing companies, we assume that the comparable companies are trading at fair value 
 Which might not be the case, e.g 
 In bubbles like before the  _domain_  crisis 
 Using DCF valuation - even with its inherent assumptions - will give an indication of the fair value of the company independent of the market"
6946,I would probably want around 10% of my portfolio invested in gold because it's enought to buffer some unexpected event that may occur
8764,"I would take my chances and only allocate a small portion 
 If a true catastrophe happens hopefully the price of gold will skyrocket so high that it will help offset the small proportion 
 After all, the question above does specifically refer to disasterous events"
2797,"The prices in the market are affected not just by company fundamentals, but also external factors like the political climate, and ""fads"" that might create asset ""bubbles"" 
  For example the housing bubble that precipitated the 2008 market crash 
 If a company reports a loss, you should consider the factors that created the loss - was it something affecting the entire industry 
 Was it a one-time write off? or is there a fundamental issue"
8172,"Yes, in 1987, years 2000 and subsequently 2008 due to foreseen or unforeseen incidents some companies took on losses due to the systemic market declines, however due to factors like sector, management etc. 
  they may still have been more valuable long term investments than the market would have suggested at the time"
2569,"In case there is a bubble on the market like the dotcom boom i dont think this valuation would really correctly show the value of the company - it may show an ""actual value"" which might be very high but it wouldnt reflect the real value of the company has.  As the all other companies would have a high P/E it would give a high value for the observerd company as well regardless of the real value of the company 
 In case of negativ earnings it would just give a negative value for the company value so it cant be used"
4377,"I believe that the bailout due to the subprime crises was necessary to prevent a systemic crises, but it became evident the necessity of a better control of the banks's leverage and risk exposure"
1670,"I think in today's market, it is advisable to put a small percentage of one's portfolio in gold for the long term 
 Also, if someone wants to use it as a hedge against corrections (downside markets) and rebalancing takes place at key moments, then gold certainly has a place in the portfolio 
 The goal is to keep good quality investments and not try to time the market 
 Gold can be used in place of traditional bonds or other fixed income positions"
5562,"I think gold should be a part of any portfolio, but weighted more heavily heading into any periods of unrest or uncertainty with regards to political unrest, interest rates, or inflation 
 So, perhaps 5-10% of a portfolio should have gold to hedge against risk, but not so much in gold so to incur opportunity costs amiss of higher returns in equities and fixed income 
 This weighting can be shifted heading into any periods of unrest to hedge against further loss from equities and fixed income"
8673,I would have a small part of Gold since there are other other assets that I could use as a hedge against extreme events
4351,"As we learned in these Gold series of lectures that an annualized return over the past four decades was 9%, thus I would allocated 10% of my portfolio to Gold (or so called the family of precious metals) as a safe hedge"
7273,"Welcome to the course Amine 
 Keep commenting in the forums and hopefully you'll see some familiar names as you progress 
 Hope you enjoy it and learn a lot"
8194,"I don't understand how they want the answer to appear 
 I answered 6046.86 million USD for the terminal value 
 In my second attempt I rounded it to 6047 million USD, but still says incorrect 
 Do they want it to be written 6,046,860,000 USD? or is my calculation wrong 
 Haha"
2437,I think that left tail is longer than the right tail using de mean or average (not the zero) as a center or axis
6290,"There is one assumption of the P/E ration -- If the required return increases, the PE decreases 
 AKA, as investors assess more risk, the PE adjusts lower"
193,"The assumption could be that finding comparable firms that have a  similar or the same revenue drivers might be difficult, which leads to potential inaccuracies in the valuation process"
4045,"This assumption is thaat companies don't often trade at fair value in the short term 
 No because I didn't use this technique before 
 For that kind of companies who use the accounting rules to report losses is better to use the DCF method"
1296,"Brazos Hi, I also think like you. This specialization helps me increase my knowledge on investment and to set up my investment company"
9055,Yes
7264,"Hey  
  It's nice to meet you"
6,"When using multiple-based valuation we assume that different companies will behave the similarly in the future which does not have to be the case 
 We assume that they are in the simmilar phase of development and thath their growth will be simmilar in the future 
 But many things might go wrong along the way so we cannot just look on multiples and base our conclusions only on those"
5932,"Ratios assume the quality of management, future prospects, and so on are all about the same across the companies used for comparison 
 Also immediate investor reaction of positive and negative news may result in excessive optimism or pessimism about the company's value"
4534,It may look as an bad incentive but at that moment it was a necessary step to avoid catastrophic consequences of the crisis
8215,"I can understand some of the frustrations 
 You do need to be careful with the maths especially if using a calculator 
 It is easy to make mistakes and rounding errors can also affect the results 
 I suggest converting percentages to their decimal form in equations 
 It is probably best to use MS Excel rather than a calculator 
 Break down the formulae/equations and calculate each part in Excel using ""= (xyz/1+0.04)^2"" in a single cell 
 (The square of xyz divided by 1+4%) - not a real example  _smiley_  
   Re quiz 2 - Q5 on NPV. I have to admit I don't understand the question 
 ""You are contemplating the following project: buying 1 share today at 35 USD"" What following project 
 And what has the share price got to do with the NPV of this 'mysterious' project 
 If it means the project at Q1 (Also confusing as Q1 is not a question but just requires the radio button to be ticked to score!) then presumably the benefits are the cashflows 
 But what are the costs as there is no upfront expenditure 
 I'm not looking for the answer here but I would appreciate some insight into the method 
 Finally while I'm in whine mode  _smiley_  I agree with other students that have expressed the expectation that the tutors will provide answer sheets for the assignments complete with workings-out where relevant, as it represents a significant learning opportunity"
